WORD,Meaning
Sunburn,햇볕에 탐
Excess,"잔여량, 여분, 초과"
raisin,건포도
Loaf,덩어리
Insult,모욕하다
custodian,관리인
Back pain,허리통증
Neck pain,목 통증
Fall off,떨어지다
Milestone,"단계, 기록, 이정표"
name,이름을 붙이다 / 말하다 / 지목하다 / 지정하다
Deviate,"벗어나다, 일탈하다"
Take off,"이륙하다, 벗다, 빼다, 가다"
Put off,미루다
passport control,출입국 심사대
Embryo,"발생, 배아, 수정란"
Humongous,거대한
"necessity, need",필요성
Buckle up,안전벨트 매다
Honk,경적을 울리다
Lawsuit,소송
frown,"눈살을 찌푸리다, 못마땅한"
Korean blood sausage,순대
Suspect,의심하다
euthanize,안락사시키다
Farther,"더 멀리, 더욱, 그 이상의 (거리 개념)"
Father,아빠
down the road,미래 (나중에)
farther down the road,좀 더 먼 미래 (한참 뒤에)
Headwater,상류
Down stream,하류
foreshadowing,복선
Foreshadow,"예시하다, 전조가 되다, \~의 징조를 보이다"
Soft,푹신푹신한
Warpage,반도체 제조 및 패키징에서 웨이퍼나 기판이 휘거나 뒤틀리는 현상
Luncheon,"오찬, 점심"
Regret -ing,~한걸 후회한다
Cop,경찰
in the event that,"~할 경우에, 만약 ~한 일이 생기면"
Isomorph,동형체
Crawfish,가재
These days,요즘
Nowadays,"세상의 요즘, 요즘날 (회화에서 쓰면 좀 어색해보임)"
Clamp,집게
Irritant,(통증 유발) 자극제
Respiratory system,호흡기관
Ordinary,평범한 = normal 느낌
Ordinary school,일반 공립 학교
Pay,급여
Salary,"급여, 봉급"
thirsty,"목 마르는, 갈증이 난, 갈망하는"
Thirst,"갈증, 갈망"
Brine,소금물
Utensil,"식기, 부엌 도구"
Miserable,"비참한, 불행한"
Shabby,"초라한, 낡은, 보잘것없는"
Thermostats,온도 조절기
By a factor of,배로
Blimp,비행선
Anion,음이온
Cation,양이온
Ones place,일의 자리
Tenths place,소수 첫째 자리
Hundreds place,소수 둘째 자리
Thousandths place,소수 셋째 자리
Take off,"벗다, 이륙하다 라는 뜻도 있음"
Persona,겉으로 드러나는 역할/이미지/캐릭터
Fire truck,소방차
Police car,경찰차
Patrol car,순찰차 (동네 돌아다니며 감시하는 차)
Patrol,"순찰하다, 경비"
Succeed,성공하다
lean,건강하고 균형 잡힌 마름 (긍정)
skinny,너무 마른 느낌 (부정)
thin,그냥 얇다/마르다 (중립)
Either one,둘 중 아무거나
either,둘 중 하나
both,둘 다
commitment,"약속, 책임, 헌신, 의지"
Trick,속이다
Warp your head around,"복잡하거나 충격적인 사실을 이해하다, 받아들이다"
X coordinate,x좌표
infinitesimal,"극미한, 미소한, 무한히 작은"
capital V,대문자 V
minus,빼기
negative,음수 (마이너스 느낌)
Parallel,병렬
series,직렬
speedometer,속도계기판
thought,"생각했다, 판단했다"
thought of,"떠올랐다, 생각났다"
a professor,그냥 어떤 교수님 하나 (불특정)
mirror,거울처럼 비추다 -> 반영하다 라는 비유적 표현
ground transportation,지상 교통편
hereby,"이에 의해, 이로써"
Excuse,"변명, 핑계, 변명하다"
alongside,나란히
units,추상적인 크기의 단위
jewelry,"보석, 장신구"
Accessory,"옷차림을 보완해 주는 모든 소품, 귀금속일 필요는 없음 (옷, 신발 제외)"
bracelet,팔찌
earing,귀걸이
leaf,나뭇잎 [plural - leaves]
in the middle of the day,정오 무렵 한낮
gloomy,"어두컴컴한, 우울한, 침울한"
undergo,"겪다, 경험하다"
displacement,"변위 (vector), 이동, 추방, 배기량"
Soft drink,탄산음료
Soft,"술이 들어 있지 않은, 알코올이 없는(non-alcoholic)이라는 뜻"
Drink,음료
stick with,"계속하다, 고수하다"
Bubble,"환상, 자기만의 세계"
staying in their own bubble,자기만의 세계에 갇혀지내다
Catch-all,"다 포함하는, 두루뭉실한"
And so on,기타 등등
tired,피곤한
exhausted,(더) 피곤한
"worn out","녹초가 된, 기진맥진한"
"exhausted","매우 지친 상태 (비격식적 표현)"
"clarity","투명, 명료함, 뚜렷함"
"Polish","다듬다, 다듬어진"
"A Polished version","다듬어진 버전"
"Quadrant","사분면"
"Idiom","숙어, 관용구"
"Downtime","휴식기간, 고장기간"
"Rule of thumb","경험적인 규칙, 대체로 맞는 규칙"
"Be used to + (동)명사","~에 익숙하다, 익숙해지다"
"be getting used to + (동)명사","점점 ~에 익숙해지고 있다"
"used to + 동사원형","~ 하곤 했다 (과거 습관)"
"nerve-wracking","몹시 긴장되는, 스트레스 주는"
"Manage one’s diet","식단관리하다"
"Dietary","식단의"
"Dietary preferences","음식 관련한 선호"
"something like that =","그런 거 하나 (단수, 대충 추측/예시)"
"things like that =","그런 것들 (복수, 여러 가지 예시 포함)"
"and things like that","같은 것들도 [앞에서 말한 걸 포함 + 확장 (추가 느낌)]"
"or things like that","라든지 뭐 그런 거 [앞에서 말한 건 예시 중 하나일 뿐 (대충 말하는 느낌)]"
"portion of pork","돼지고기 한 인분/정해진 양 (식사 제공 문맥에서 자주 씀)"
"First thing first","무엇보다도 먼저, 가장 중요한 걸 먼저"
"Perimeter","주변, 경계"
"For ya","for you의 구어체 표현"
"Freak","별난, 괴짜같은"
"Freakin’","freaking의 구어체 축약형"
"sink","싱크대"
"Clog","막다, 막히다, 장애물, 방해물"
"Under the weather","몸이 좋지 않다, 아프다, 컨디션이 안좋다"
"Try on","입어보다, 신어보다, 써보다"
"mystical","신비로운, 불가사의한"
"Elapse","지나다, 경과하다, 시간의 경과 (자동사)"
"Buoy","부표, 뜨다"
"Wake","보트가 빠르게 지나갈 때 생기는 파도"
"No-wake buoy marker","물결(파도, wake)을 일으키지 말라는 뜻을 알리는 부표"
"curvilinear","곡선의"
"Bracket","받침대"
"Basket","바구니"
"Plz hold on a sec","기다려주세요"
"Believe","말이나 사실을 믿다"
"trust","사람을 믿다"
"Believe in","신 따위를 믿을 때 씀"
"split the bill","각자 계산하다"
"wake-up call","모닝콜"
"Chug","마셔라 (ex. Chug Chug Chug)"
"Chug a drink","벌컥벌컥 마시다"
"Set menu","코스요리"
"pet","쓰다듬다, 어루만지다"
"Borrow","빌리다"
"Jujube","대추"
"Chestnut","밤"
"Fig","무화과"
"Order","순서, 질서, 주문하다"
"Ordinal","순서의, 서열을 나타내는"
"Cardinal","가장 중요한, 기본적인"
"a cardinal rule","가장 중요한 규칙"
"cardinal number","기수 (1, 2, 3 …)"
"Thin out","숱을 치다"
"Just make it neat please","깔끔하게 잘라주세요"
"Buzz cut","반삭"
"Sideburns","구렛나루"
"blonde","금발"
"Brunette","갈색머리"
"Take off","자르다"
"Slightly off","귀에 닿지 않을 정도로"
"Whitewalls","옆머리~귀 사이 부분"
"Halfway","중간 지점"
"half","절반"
"way","길, 거리"
"halfway between my eyes and eyebrows","눈과 눈썹 중간쯤"
"Clipper","바리깡"
"launch","발사하다, 진수하다, 시작하다"
"the launch of a satellite","위성 발사"
"product launch","제품 출시"
"derivative","미분"
"Differentiation","미분"
"story","건물의 층"
"Times","곱하기"
"Weed","잡초, 마리화나"
"By a factor of ~","배 만큼"
"Factor","배"
"asymptotic","점근선의"
"Order","차수"
"First order","1차"
"Per se","딱히, 그 자체로, 본질적으로"
"Surprisingly","의외로"
"adapt","적응하다"
"Adopt","입양하다, 채택하다, 적용하다"
"fit in","적응하다"
"Process","처리과정"
"Phase","과정"
"Gradually","점차"
"Late","늦은, 지각한"
"Just in case","혹시 모르니까, 만약을 대비해서"
"In case of N","~의 경우에"
"In case (N/ S+V)","만약 ~할 경우에 대비해서"
"Notice","알아차리다"
"Sleep","자다 (행위)"
"Virgin","순수한"
"Populate","살다, 서식하다. 값을 채워 넣다, 입력하다"
"out of","~에서 뽑아서, ~를 기반으로"
"such that","~하도록, ~이 되도록, ~라는 조건으로"
"Appointment","병원, 미용실, 면접 같은 약속 (사람을 만나는 약속)"
"Reservation","예약 (자리, 공간, 물건 등을 확보하기 위한 약속)"
"Plans","가벼운 약속"
"Borrow","빌리다"
"Lend","빌려주다"
"Be about to","막 ~하려고 하다"
"Splurge","사치하다, 낭비하다, 과시하다 (자동사)"
"Splurge on something","무언가에 돈를 아낌없이 쓰다, 사치하다"
"A high yield savings account","고수익 예금 계좌"
"Contribute","기여하다, 주다, 제공하다, 바치다"
"Stretch one’s dollars(money)","돈을 아껴 쓰다, 효율적으로 쓰다"
"exclamation","감탄"
"exclamation mark","느낌표"
"Question mark","물음표"
"Interrogate","조사하다, 질문하다"
"Any and all","모든, 단 하나도 빠짐없이 (강조, 격식체)"
"Convince","설득시키다, 납득시키다, 확신시키다"
"Be clogged","막혔다"
"Scale","저울"
"Yacht","요트"
"Honorifics","경어, 경칭, 높임말"
"Wave","손 흔드는 인사"
"Bow","고개 숙여 인사하다"
"Articles","관사"
"Indefinite article","부정관사"
"Definite article","정관사"
"Look forward to + 동명사","~를 기대하다"
"Compare","비교하다 (유사점)"
"Contrast","대조하다 (차이점)"
"Comparison","비교"
"Easy","그냥 쉽다, 어렵지 않다는 의미"
"Straightforward","복잡하지 않고, 이해하기 쉽다 / 절차가 간단하다는 의미"
"Ginseng","인삼"
"Red ginseng","홍삼"
"Ginger","생강"
"territory","영토, 영역, 지역, 세력권"
"Thank you in advance","미리 감사드립니다"
"chaperon(e)","보호자"
"Excuse","변명하다"
"Execute","실행하다, 수행하다"
"Execution","실행"
"Prime number","소수 (1과 자기자신으로만 나눠지는 수)"
"asynchronous","동시에 일어나지 않는"
"Greatest Common Divisor (gcd)","최대공약수"
"No way","설마, 진짜야? 말도안돼, 절대안돼"
"Beard","턱수염"
"Never mind","신경쓰지마"
"Seismic","지진의"
"not fun","괴로운"
"not funny","안 웃겨"
"way before +","한참 전에"
"spoil","망치다, 너무 잘해주다, (잘해줘서) 버릇 나빠지게 하다"
"say","(글로 쓰여진 경우) 나타내다"
"indicate","(글 대신 그림인 경우) 나타내다"
"alone","다른 사람 없이 (두 명인 경우만), 홀로"
"kid","젊은이 라는 뜻도 있음"
"live in","(영구 거주) ~에 살다"
"likewise, You too","저도요"
"understand me","내 말을 이해해줘 (잘 해석해달라는 뜻)"
"please understand, please bear with me","이해해주세요, 양해해주세요 (공감적인 측면)"
"for a sec","잠깐"
"come here","이리 와"
"come on over","여기로 와줘"
"same old, same old","항상 똑같이 뭐 = nothing special, nothing much"
"Be up to something ~","~ 하고있다"
"No, thanks","아니요, 괜찮아요 (No thanks, I'm good)"
"Not for me, thanks","저한텐 안 맞는 것 같아요"
"Maybe later","나중에요 (거절 + 희망 보류)"
"Encounter +","안좋은 상황, 문제(보고서, 기사) 를 맞닥뜨리다"
"run into +","(사람을) 우연히 만나다 (구어체)"
"premiere","상영회, 개봉하다"
"staunch","확고한, 충실한 (dedicated)"
"queue","줄을 서다, 대기열 (british word)"
"letdown","실망 (disappointment), 실망시키다, 감소"
"passion","열정"
"befriend","친구가 되다."
"Cross","이성친구"
"Along","함께"
"Come along","같이가다"
"Tag along","따라가다"
"Tag","술래잡기, 표시하다"
"Come over","집에 놀러가다"
"Foodie","음식 애호가 (가산명사)"
"Be addicted to : ~","에 중독 되었다"
"Street smart","위험한 동네에서 행동, 길찾는 센스 이런 거에 발달한 사람"
"Find","찾다 (찾은 상태)"
"Be looking for","찾다 (찾고있는 상태)"
"Find out","알아보다"
"Search","뒤지다"
"Search the internet","인터넷을 뒤지다"
"Search for the information","정보를 찾다"
"Profanity","비속어"
"In the meantime","그동안"
"Meanwhile","동시에"
"Obviously","딱봐도"
"Apparently","듣자하니"
"In forever","오랜만에"
"Be starting to like","점점 좋아지다"
"No way","말도안돼, 그럴리가 없어, 절대 안 돼"
"Percentage","백분율 (숫자랑 사용 X)"
"tortoise [tɔ́ːrtəs]","거북이 (육지)"
"Turtle","바다거북, 거북"
"Inept","서투른, 부적절한"
"postpone","유보하다 (미루다라는 뉘앙스 아님)"
"call off","취소하다"
"breeder","사육사"
"win + 경기, 경쟁대상","(경쟁대상, 경기) 이기다"
"win + 사람","~의 마음을 얻다"
"beat + 사람","~을 이기다"
"date with someone","데이트하다"
"date someone","사귀다"
"upgrade","(기술, 시스템, 장비) 업그레이드 하다"
"stray cats","길고양이"
"alley cats","길고양이"
"attractive","잘생긴, 예쁜"
"pathetic","불쌍한 (원어민 사이에선 한심한 이라고 사용)"
"Even better then I expected","기대보단 좋다 (긍정 뉘앙스)"
"Butt","엉덩이 - back of your pants, backside로 말하는게 일반적"
"Hip","골반"
"Puzzle","당황"
"Freak out","놀라다, 당황하다"
"Embarrassed","창피한"
"Embarrass","창피하게 하다"
"embrace","포용하다, 포옹하다, 받아들이다"
"Discard","(지침, 메뉴얼을) 버리다, 폐기하다"
"Throw away, junk","쓰레기를 버리다"
"take out","내다버리다"
"Partner with","협력하다"
"Come across","우연히 찾다, 만나다"
"Monsoon","호우, 계절풍"
"Grumble","불평하다"
"Stumble","비틀거리다. 부진하다"
"culinary","요리의, 부엌의, 요리용의"
"jealous","부러워하는, 질투하는"
"Until the end","끝까지"
"Leftovers","남은 음식"
"vague","애매한, 모호한"
"ambiguous","두 가지로 해석될 수 있는, 모호한"
"unclear","불분명한"
"misunderstand","오해하다"
"plump","살짝 포동포동한"
"pudgy","통통한, 토실토실한"
"Orientation schedule","오티 일정"
"Crutch","버팀목, 목발"
"See you in an hour","한시간 뒤에 봐"
"maternity","모성"
"Paternity","부성"
"Scam","신용사기, 사기"
"Chalkboard","칠판"
"Elbow","팔꿈치"
"Wrist","손목"
"Nail","손톱"
"toenail","(사람의) 발톱"
"Toe","발가락"
"Tiptoe","발 끝"
"Maze","미로"
"Abduct","납치하다"
"Abduction","납치"
"Luckily… / Fortunately…","(문장 맨 앞에 위치) 다행히"
"tweak","비틀다"
"pull a muscle","근육이 결리다"
"Sprain","삐다"
"Hallow","신성하게 하다, 성직자"
"Mission","사절단"
"Rejuvenate","젊어지다, 회복하다, 활력을 되찾게 하다"
"Menace","위험, 위협하다, 협박하다."
"Dish detergent","주방세제"
"Deodorant","디오드런트 탈취제"
"adjective","형용사"
"moreover","게다가"
"furthermore","게다가"
"consequently","결과적으로"
"nevertheless","그럼에도 불구하고"
