WORD,Meaning
draw near,"가까워지다, 다가오다"
draw off,"벗다, 물 따위를 빼다, 주의를 딴데로 돌리다"
draw on,"다가오다, ~에 의지하다, 신다, 장갑 따위를 끼다"
draw out,"끌어내다, 잡아 늘이다, 그리다"
draw to a close [an end],종말에 가까워지다
draw up,"끌어 올리다, 마차가 멈추다"
dream of,"~의 꿈을 꾸다, ~을 몽상하다"
be drenched to the skin,흠뻑 젖다
dress up,옷을 격식에 갖춰 입다
drink up,~을 다 마셔 없애다
have [take] a drink,술을 한잔하다
drive at,"~을 겨누다, 하려고 마음먹다"
drive away,"몰아내다, 차를 몰고 가버리다"
drive out,"몰아내다, 배격하다"
drop across,"~을 우연히 만나다, 발견하다"
drop away,"줄어들다, 약해지다"
drop down,"쓰러지다, 갑자기 멎다"
drop in,~에 잠깐 들르다
drop into,"~에 들르다, 기항하다"
drop off,"줄어들다, 깜빡 잠이 들다"
dry up,"바싹 마르다, 말리다, 고갈되다"
due to,"~에 의하여,~ 때문에"
off duty,비번으로
on duty,당번으로
dwell upon [on],~에 대하여 곰곰히 생각하다
be eager to,몹시 ~하고 싶어하다
earn [make] one’s living,생계비를 벌다
in earnest,"진지하게, 열심히"
on earth,"세상에서, (의문문에서) 도대체, (부정문에서) 조금도"
at ease,"마음 놓고, 편안히"
be [feel] at ease,안심하다
ill at ease,"마음 놓이지 않는, 긴장하여"
with ease,"용이하게, 쉽게"
on [at] the edge of,"~의 가장자리에, 막 ~하려고 하는 찰나"
have an effect on [upon],"~에 영향을 미치다, 효과가 있다"
at the end,마침내
end for end,"거꾸로, 반대로"
end to end,끝과 끝을 이어서
be endowed with,"~이 부여되어 있다, ~을 갖추고 있다"
be engaged in,"~에 종사하다, 착수하다"
engage oneself to,"~하겠다고 서약하다, 약속하다"
be engrossed in,~에 열중해 있다
enough to,~하기에 충분한
enter for,~에 참가를 신청하다
enter into,"~들어가다, ~을 시작하다, 들어서다, ~에 참가하다"
enter on [upon],"소유권을 얻다, ~에 들어가다, 착수하다, ~을 시작하다"
be equal to,"~와 같다, ~에 비등하다, ~을 감당할 수 있다"
be equipped with,"~을 갖추고 있다, ~이 장비되어 있다"
go on an errand,"심부름 가다, 사명을 띠고 가다"
escape from,"~에서 달아나다, 탈출하다"
be essential to,~에 필수 불가결하다
establish oneself,"자리 잡다, 정착하다, 개업하다"
at all events,"여하튼, 좌우간"
in any event,"무슨 일이 있어도, 하여튼"
in the event of,만일 ~의 경우에는
ever since,그 이래로 내내
ever so,"아무리 ~라도, 매우"
hardly ever,좀처럼 ~ 않다
every now and then [again],"가끔, 때때로"
every time,~할 때마다
make an example of,~를 본보기로 하다
set [give] an example of,~에게 모범을 보이다
except for,"~외에, ~을 제외하고는, ~이 없으면"
with the exception of,"~을 제외하고는, ~외에는"
in exchange for [of],"~와 교환으로, ~대신"
exchange ~ for …,~을 …와 교환하다
excuse oneself,"변명하다, 사과하다"
in excuse of,~의 변명으로서
exert oneself to,"노력하다, 진력하다"
at the expense of,"~의 비용으로, ~에게 폐를 끼치고, ~을 희생하여"
extend into,~로 퍼지다
to a certain extent,"어느 정도, 다소간"
go to extremes,극단에 치우치다
in the eyes of,"~이 보는 바로는, ~의 견지에서 보면"
have an eye for,~을 보는 눈이 있다

